Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 506,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Social Studies,Campus B,4,4,4,4,4,learning how to use Amira to support student,,
Participant 511,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus B,5,5,5,5,5,The importance of monitoring student progress and consulting with students to maximize the learning,,
Participant 542,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Social Studies,Campus B,4,4,4,4,4,Ensuring slide decks and pre and post work is complete ,,
Participant 544,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School 25,Campus B,5,5,5,5,5,Help scholars succeed in continuous education- zearn and Amira ,,
Participant 335,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,Social Studies,Campus A,5,5,5,5,5,I know how to guide and instruct students to be able to access Amira successfully and meet their reading goals.,,
Participant 528,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Art of Thinking,Campus A,5,5,5,5,5,Higher thinking questions ,,
Participant 387,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus A,4,4,5,4,4, , ,
Participant 410,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Science,Campus A,5,5,5,5,5,the science block ,,
Participant 378,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus A,4,5,3,4,3,I learned how to use & navigate the amira platform.,,
Participant 269,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Morris,High,Social Studies,Campus K,4,4,4,4,4,I like the slides,,
Participant 365,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Secretary,Campus K,5,5,5,5,5,Early grade knowledge before summer starts,,
Participant 394,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Health,Campus K,5,5,5,5,5,My course is online,,
Participant 534,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,TBD,Campus K,5,5,4,4,5,Pretty much everything is provided,,
Participant 537,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Health,Campus K,5,3,4,3,4,Documentation,,
Participant 374,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,ELAR/English,Campus K,5,5,5,5,5,Internalization,,
Participant 363,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,ELAR/English,Campus H,5,5,5,5,5,Curriculum guide,,
Participant 386,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Science,Campus H,5,5,5,5,5,How to access the summer curriculum ,,
Participant 465,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Mathematics,Campus H,5,5,5,5,5,I learned how to enroll and I got the curriculum from canvas,,
Participant 520,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,ELAR/English,Campus H,5,5,5,5,5,More insight on the curriculum guide was very helpful!,,
Participant 523,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Science,Campus H,4,4,4,4,4,Curriculum map,,
Participant 517,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,Mathematics,Campus A,5,5,5,5,5,Engaging MRS,,
Participant 438,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus A,5,5,5,5,5,Amira,LOVED IT,
Participant 425,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus U,5,5,5,5,5,Amira information was very valuable,,
Participant 445,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Social Studies,Campus U,5,5,5,5,5,Amir,,
Participant 519,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,Learning Coach ,Campus U,5,5,5,5,5,The Amira reading that will help students who has problem reading and understanding different stories.,NA,
Participant 342,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Social Studies,Campus AA,5,5,5,5,5,Content preview - we can plan ahead,,
Participant 359,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Spanish,Campus AA,4,4,4,4,4,Engaging activities ,,
Participant 446,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Mathematics,Campus AA,5,5,5,5,5,instructional strategies for delivering the contents to the students,none,
Participant 515,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Spanish,Campus AA,5,5,5,5,5,curriculum is available,,
Participant 454,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Mathematics,Campus A,5,5,5,5,5,How to access Amira ,,
Participant 404,5/29/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,All subjects ,Campus D,4,4,5,4,4,Math Academy ,Very informative ,
Participant 320,5/29/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Social Studies,Campus D,4,4,4,4,4,Prints will be available,N/A,
Participant 325,5/29/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus D,5,5,5,5,5,"How to navigate boost amplify, accommodate scholars and view students progress",,
Participant 348,5/29/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Mathematics,Campus D,5,5,5,5,5,Boost hints,Na,
Participant 333,5/29/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Social Studies,Campus Y,5,5,5,5,5,DOL grading ,,
Participant 384,5/29/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,80921,Campus E,5,5,5,5,5,N/a,,
Participant 796,6/5/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,BSC,Campus E,5,5,5,5,5,N/A,,
Participant 651,6/5/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,Art,Campus M,5,5,5,5,5,Canvas has all of the resources we will need for the students to be successful. ,,
Participant 703,6/5/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Middle ,ELAR/English,Campus D,5,5,5,5,5,I learned how to track and analyze Amira results ,,
Participant 831,6/5/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Art of Thinking,Campus R,3,3,3,4,4,I learned how to use Amira ,,
Participant 978,6/5/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Science,Campus N,4,5,2,4,5,Exploring the curriculum is allowing me to get ahead and start internalizing the slide decks now. ,Thank you for the information!,
Participant 920,6/5/2025,Summer School Training for Teachers of PreK ,Dana,Elementary ,Mathematics,Campus J,3,3,3,3,3,Lesson internalization and attendance,None,
Participant 630,6/5/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus H,4,4,4,4,4,Track data,,
Participant 713,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,Reading Academies,Campus B,5,5,5,5,5,SS attendance and instruction ,,
Participant 782,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Mathematics,Campus C,5,5,5,5,5,Tracking reports from Zearn,Great training,
Participant 837,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Robin,Elementary ,ELAR/English,Campus C,4,5,5,4,5,The use the all activities lessons that we can use during the summer school ,,
Participant 555,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,pk Summer School,Campus C,5,5,5,5,5,"Since I don't teach pk during the year the schedule informed me exactly what uis expected, very helpful!",Ms. Azcarate was very thorough and detailed with instructions. I enjoyed her very much.,
Participant 803,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus C,5,5,5,5,5,Data support ,,
Participant 917,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,self contained,Campus C,5,5,5,5,5,"the slide decks, schedules, DOLs and student activities",I appreciate the presenters' knowledge and patience.,
Participant 985,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Summer school,Campus C,4,4,4,4,4,Zearn and Amira,,
Participant 722,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Self-contained,Campus C,5,5,5,5,5,When to offer certificates to students based on their obtained lessons.,Not at this time.,
Participant 995,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Science,Campus C,5,5,5,5,5,How to use Amira,,
Participant 1015,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,summer school,Campus C,4,4,4,4,4,tracking ,,
Participant 880,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus H,5,5,5,5,5,Canvas Resources,,
Participant 908,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus H,5,5,5,5,5,The pacing of the lessons and how the DOL's will be executed.,I did not see the course that I'm teaching listed in the materials (Environmental Systems - Science),
Participant 924,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus H,5,5,5,5,5,Internalization of lessons and planning misconceptions ,,
Participant 647,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus D,5,5,5,5,5,Materials were introduced,Great support!,
Participant 763,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,self contained,Campus D,3,3,3,3,3,Amira will be used for reading,,
Participant 569,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus K,5,5,5,5,5,Utilizing Lesson Resources to plan for lessons and utilizing the HB1416 app to log intervention hours,Please add Richelle Prince ,
Participant 576,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,3,3,3,3,3,assessment ,,
Participant 578,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,4,5,4,4,5,Access to the lessons on canvas (summer school) with the daily LO and DOLs is very helpful. ,Thank you for this session ,
Participant 588,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,4,4,4,4,4,On track assessment ,,
Participant 662,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,4,4,5,5,5,Thanks,,
Participant 891,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus K,5,5,5,5,5,How to utilize district resources,Thanks,
Participant 925,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Randy,High,Mathematics,Campus K,5,5,5,5,5,Internalation ,,
Participant 643,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science of Reading,Campus D,5,5,5,5,5,How to implement the learning trackers with Amira.,,
Participant 679,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus D,5,5,5,5,5,Amira tips.,,
Participant 821,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Amira and Zearn,Campus D,5,5,5,5,5,Tracking student's performance ,,
Participant 838,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Robin,Elementary ,Reading Academies,Campus D,5,5,5,5,5,Amira,Excellent training ,
Participant 844,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus D,5,5,5,5,5,How the curriculum for summer school will work. ,Everything informative. ,
Participant 860,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus D,5,5,5,5,5,How to access curriculum ,Everything was super informative ,
Participant 629,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus D,4,4,4,4,4,ASSING BADGES IN AMIRA,,
Participant 634,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Special Education (inclusion),Campus D,5,5,5,5,5,Navigating the course curriculum,,
Participant 835,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Self contained,Campus D,5,5,5,5,5,I learned how to navigate and manage student performance via the zearn platform,N/A,
Participant 851,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Self-contained,Campus D,4,4,4,3,3,Amira learning sounds fun for kids,Wish us luck,
Participant 962,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus D,5,5,5,5,5,Log and track intervention hrs ,,
Participant 836,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,2nd Grade Bilingual,Campus D,5,5,5,5,5,I am new to Amira.  It is in Spanish.  Great!,Thanks.,
Participant 945,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus D,5,5,5,5,5,The slide decks and activities already online.,,
Participant 739,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,TA,Campus D,5,5,5,5,5,Learning about Amira ,,
Participant 640,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Teacher Apprentice ,Campus E,4,4,4,4,4,I learned about a new platform PADLET to use in my classroom in the future ,,
Participant 673,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Social Studies,Campus E,4,4,4,4,4,How to login to Zearn and Amira,N/A,
Participant 675,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science of Reading,Campus E,5,5,5,5,5,Amira and Zearn - reports,,
Participant 758,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Enrichment ,Campus E,5,5,5,5,5,N/A,,
Participant 759,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Social Studies,Campus E,5,5,5,5,5,Tracking student's progress is important in order for them to meet weekly goals.,N/A,
Participant 612,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Self Contained ,Campus F,5,4,4,4,4,Resources for summer school ,,
Participant 633,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus F,3,3,3,3,3,Amira paper tracker,,
Participant 653,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science,Campus F,5,5,5,5,5,Data monitoring ,Great work ,
Participant 668,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Summer School,Campus F,5,5,5,5,5,Slides Desks,,
Participant 688,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus F,5,5,5,5,5,"Access to Slide decks, Meet Amira Student Slides",,
Participant 691,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus F,5,5,5,5,5,Tracking Amira ,,
Participant 960,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus F,4,4,4,4,4,apps,,
Participant 621,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus I,5,5,5,5,5,Additional resources being available in zearn and Amira. ,,
Participant 652,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus I,5,5,5,5,5,How to track progress on Zearn and Amira- ensuring student success,,
Participant 935,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus I,5,5,4,5,5,Amira ,,
Participant 1026,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus I,5,5,5,5,5,Amira badgers ,,
Participant 823,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Enrichment ,Campus I,5,5,5,5,5,Zearn/ utilizing reports,,
Participant 932,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Social Studies,Campus D,5,5,5,5,5,N/A,N/A,
Participant 979,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Science,Campus D,5,5,5,5,5,Curriculum guide,Break out rooms for each content.  ,
Participant 815,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Science,Campus D,4,4,4,5,5,Post test to gather student data to see where they are,,
Participant 552,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,Pre-Summer School,Campus L,5,5,5,5,5,Reading and Using the Summer School 2025 Curriculum Map & Lesson Plan Outline ,Summer School Resources will be monitored and packed properly at the end of the Summer School 2025 session for pickup by the district. ,
Participant 600,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus S,4,4,4,4,4,How to access curriculum ,,
Participant 642,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus S,5,5,5,5,5,Clear understanding on how to best find summer school material ,N/A,
Participant 879,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus S,5,5,5,5,5,where lesson decks are,n/a,
Participant 627,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Summer School Curriculum Overview,Campus M,5,5,5,5,5,Amina System,,
Participant 656,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,G1 and G2 Summer,Campus M,4,4,4,4,4,How to look find the reports,N/A,
Participant 658,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science,Campus M,5,5,5,5,5,How to access all the materials needed for summer school. ( including assessments),,
Participant 659,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Social Studies,Campus M,5,5,5,5,5,Differentiated instruction ,,
Participant 692,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus M,5,5,5,5,5,I will use the unit overview to ensure that I stay on track.,,
Participant 724,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Reading Academies,Campus M,5,5,5,5,5,MONITORING AND TRACKING STUDENT'S WORK,,
